,true_label,2,3,4,5
0,1,0,1,2,2
1,1,0,1,2,2
2,1,0,1,2,2
3,1,0,1,2,2
4,1,0,1,1,1
5,1,0,1,2,1
6,1,0,1,2,2
7,1,0,1,1,1
8,1,0,1,2,1
9,1,0,1,2,2
10,1,0,1,2,2
11,1,0,1,2,2
12,1,0,1,2,2
13,1,0,1,2,1
14,1,0,1,2,1
15,1,0,1,2,2
16,1,0,1,2,1
17,1,0,1,1,1
18,1,0,1,2,1
19,1,0,1,2,2
20,1,0,1,1,1
21,1,0,1,2,2
22,1,0,1,1,1
23,1,0,1,2,2
24,1,0,1,2,1
25,1,0,1,2,2
26,1,0,1,1,1
27,1,0,1,2,2
28,1,0,1,2,2
29,1,0,1,2,2
30,1,0,1,1,1
31,1,0,1,1,1
32,1,0,1,2,1
33,1,0,1,1,1
34,1,0,1,1,1
35,1,0,1,1,1
36,1,0,1,2,2
37,1,0,1,2,2
38,1,0,1,2,2
39,1,0,1,2,2
40,1,0,1,1,1
41,1,0,1,2,2
42,1,0,1,2,2
43,1,0,1,1,1
44,1,0,1,2,2
45,1,0,1,1,1
46,1,0,1,2,2
47,1,0,1,2,2
48,1,0,1,2,2
49,1,0,1,1,1
50,1,0,1,2,2
51,1,0,1,2,2
52,1,0,1,2,2
53,1,0,1,1,1
54,1,0,1,1,1
55,1,0,1,2,2
56,1,0,1,2,2
57,1,0,1,2,2
58,1,0,1,2,2
59,1,0,1,2,2
60,1,0,1,2,2
61,1,0,1,1,1
62,1,0,1,2,2
63,1,0,1,2,1
64,1,0,1,2,2
65,1,0,1,2,2
66,1,0,1,1,1
67,1,0,1,2,2
68,1,0,1,2,2
69,1,0,1,1,1
70,1,0,1,2,2
71,1,0,1,2,2
72,1,0,1,1,1
73,1,0,1,2,2
74,1,0,1,2,2
75,1,0,1,2,2
76,1,0,1,2,2
77,1,0,1,2,2
78,1,0,1,2,2
79,1,0,1,1,1
80,1,0,1,2,2
81,1,0,1,2,2
82,1,0,1,2,2
83,1,0,1,2,2
84,1,0,1,1,1
85,1,0,1,2,2
86,1,0,1,2,2
87,1,0,1,1,1
88,1,0,1,2,2
89,1,0,1,1,1
90,1,0,1,2,1
91,1,0,1,1,1
92,1,0,1,1,1
93,1,0,1,1,1
94,1,0,1,2,2
95,1,0,1,1,1
96,1,0,1,1,1
97,1,0,1,1,1
98,1,0,1,2,2
99,1,0,1,1,1
100,1,0,1,2,2
101,1,0,1,2,2
