,true_label,2,3,4
0,1,0,0,0
1,1,0,0,2
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,2
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,2
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,2
15,1,0,0,2
16,1,0,0,2
17,1,0,0,0
18,1,0,0,2
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,2
26,1,0,0,2
27,1,0,0,2
28,1,0,0,2
29,1,0,0,2
30,1,0,0,2
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,2
37,1,0,0,0
38,1,0,0,0
39,1,0,0,2
40,1,0,0,2
41,1,0,0,2
42,1,0,0,0
43,1,0,0,0
44,1,0,0,2
45,1,0,0,2
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,2
50,2,1,1,1
51,2,1,2,3
52,2,1,1,1
53,2,1,1,1
54,2,1,2,3
55,2,1,2,3
56,2,1,2,3
57,2,1,1,1
58,2,1,2,3
59,2,1,2,3
60,2,1,1,1
61,2,1,2,3
62,2,1,2,3
63,2,1,2,3
64,2,1,1,1
65,2,1,1,1
66,2,1,1,1
67,2,1,2,3
68,2,1,2,3
69,2,1,2,3
70,2,1,1,1
71,2,1,1,1
72,2,1,2,3
73,2,1,1,1
74,2,1,2,3
75,2,1,1,1
76,2,1,1,1
77,2,1,1,1
78,2,1,1,1
79,2,1,2,3
80,2,1,1,1
81,2,1,2,3
82,2,1,1,1
83,2,1,2,3
84,2,1,2,3
85,2,1,2,3
86,2,1,1,1
87,2,1,2,3
88,2,1,2,3
89,2,1,1,1
90,2,1,2,3
91,2,1,2,3
92,2,1,2,3
93,2,1,1,1
94,2,1,1,1
95,2,1,2,3
96,2,1,2,3
97,2,1,2,3
98,2,1,2,3
99,2,1,2,3
