,true_label,4,5,6,7,8
0,build_wind_float,1,0,0,1,1
1,build_wind_float,1,3,2,0,7
2,containers,0,0,5,6,0
3,build_wind_float,1,0,0,1,1
4,build_wind_non-float,1,3,2,0,4
5,build_wind_non-float,1,0,0,1,1
6,build_wind_non-float,1,0,0,1,1
7,build_wind_non-float,1,0,0,1,1
8,build_wind_float,1,0,0,1,1
9,headlamps,2,1,3,2,3
10,headlamps,2,1,3,2,3
11,build_wind_non-float,1,0,0,1,1
12,build_wind_non-float,3,2,1,3,2
13,build_wind_float,1,0,0,1,1
14,vehic_wind_float,1,3,2,0,7
15,build_wind_float,1,0,0,1,7
16,headlamps,2,1,3,2,3
17,build_wind_non-float,1,0,0,1,1
18,build_wind_float,1,3,2,0,7
19,build_wind_non-float,1,0,0,1,1
20,vehic_wind_float,1,0,0,1,1
21,build_wind_float,1,0,0,1,1
22,vehic_wind_float,1,3,2,0,7
23,vehic_wind_float,1,0,0,1,7
24,headlamps,2,1,3,2,3
25,build_wind_non-float,3,2,4,4,6
26,build_wind_float,1,0,0,1,1
27,tableware,2,1,3,2,4
28,headlamps,2,1,3,2,3
29,build_wind_float,1,3,2,0,7
30,build_wind_non-float,1,0,0,1,1
31,build_wind_float,1,0,0,1,1
32,build_wind_non-float,3,2,1,3,2
33,headlamps,0,0,0,6,0
34,build_wind_float,1,0,0,1,1
35,build_wind_non-float,1,0,0,1,1
36,build_wind_non-float,1,0,0,1,1
37,build_wind_float,1,0,0,1,1
38,build_wind_float,1,0,0,1,1
39,build_wind_float,1,0,0,1,1
40,build_wind_non-float,1,0,0,1,1
41,containers,3,2,1,3,2
42,headlamps,0,0,5,6,0
43,headlamps,0,1,3,2,0
44,build_wind_non-float,1,0,0,1,1
45,containers,3,2,1,3,2
46,vehic_wind_float,1,0,0,1,1
47,build_wind_non-float,1,0,0,1,1
48,build_wind_float,1,0,0,1,1
49,headlamps,2,1,3,2,3
50,build_wind_float,1,0,0,1,1
51,build_wind_float,1,0,0,1,1
52,build_wind_float,1,0,0,1,1
53,build_wind_float,1,0,0,1,1
54,build_wind_float,1,0,0,1,1
55,vehic_wind_float,1,0,0,1,1
56,build_wind_non-float,1,0,0,1,1
57,build_wind_non-float,1,0,0,1,1
58,tableware,2,1,1,3,2
59,headlamps,2,1,3,2,3
60,build_wind_non-float,1,0,0,1,7
61,build_wind_non-float,2,3,1,3,4
62,build_wind_non-float,1,0,0,1,1
63,headlamps,2,1,3,2,3
64,build_wind_non-float,1,0,0,1,1
65,build_wind_non-float,1,0,0,1,1
66,headlamps,2,1,3,2,3
67,tableware,1,3,2,0,4
68,tableware,1,3,2,0,4
69,build_wind_non-float,3,2,4,4,6
70,build_wind_float,1,0,0,1,1
71,tableware,1,3,2,0,4
72,tableware,1,3,2,0,4
73,build_wind_non-float,1,0,0,1,1
74,build_wind_non-float,1,0,0,1,7
75,build_wind_float,1,3,2,0,7
76,headlamps,2,1,3,2,3
77,build_wind_float,1,3,2,0,7
78,build_wind_float,1,0,0,1,1
79,build_wind_non-float,1,0,0,1,1
80,build_wind_non-float,1,3,2,0,4
81,build_wind_float,1,3,2,0,7
82,build_wind_float,1,3,2,0,7
83,containers,3,2,1,3,2
84,build_wind_non-float,1,0,0,1,1
85,vehic_wind_float,1,0,0,1,1
86,build_wind_non-float,1,0,0,1,1
87,build_wind_float,1,0,0,1,1
88,headlamps,2,1,3,2,3
89,build_wind_non-float,1,0,0,1,1
90,build_wind_non-float,1,0,0,1,1
91,containers,3,2,1,3,2
92,containers,2,1,1,3,2
93,build_wind_float,1,0,0,1,1
94,build_wind_non-float,1,0,0,1,1
95,build_wind_float,1,0,0,1,1
96,vehic_wind_float,1,0,0,1,1
97,tableware,2,1,1,3,2
98,build_wind_float,1,0,0,1,1
99,build_wind_non-float,1,0,0,1,1
100,headlamps,2,3,2,0,4
101,build_wind_non-float,1,0,0,1,1
102,build_wind_float,1,3,2,0,7
103,build_wind_non-float,1,0,0,1,1
104,vehic_wind_float,1,3,2,0,7
105,headlamps,1,0,0,1,1
106,build_wind_float,1,3,2,0,7
107,build_wind_float,1,0,0,1,1
108,tableware,2,1,3,2,3
109,build_wind_non-float,3,2,4,4,6
110,build_wind_float,1,3,2,0,7
111,build_wind_non-float,1,0,0,1,1
112,build_wind_non-float,1,0,0,1,1
113,build_wind_float,1,3,2,0,7
114,vehic_wind_float,1,0,2,1,7
115,build_wind_non-float,1,0,0,1,1
116,build_wind_non-float,1,0,0,1,1
117,build_wind_non-float,1,0,0,1,1
118,build_wind_float,1,3,2,0,7
119,build_wind_non-float,1,0,0,1,1
120,build_wind_float,1,3,2,0,7
121,build_wind_float,1,0,0,1,7
122,containers,3,2,1,3,2
123,headlamps,2,1,3,2,3
124,build_wind_float,1,0,0,1,1
125,headlamps,2,1,3,2,3
126,build_wind_float,1,0,0,1,1
127,build_wind_non-float,1,0,0,1,1
128,build_wind_float,1,0,0,1,1
129,headlamps,1,3,2,0,4
130,build_wind_non-float,1,0,0,1,7
131,build_wind_non-float,1,0,0,1,1
132,build_wind_non-float,1,0,0,1,1
133,build_wind_non-float,3,2,4,4,6
134,headlamps,2,1,3,2,3
135,headlamps,2,1,3,2,3
136,build_wind_float,1,0,0,1,1
137,headlamps,2,1,3,2,3
138,vehic_wind_float,1,0,0,1,1
139,build_wind_float,1,3,2,0,7
140,vehic_wind_float,1,0,0,1,7
141,build_wind_float,1,0,0,1,1
142,containers,0,4,5,5,5
143,build_wind_non-float,1,0,0,1,1
144,containers,1,3,1,3,4
145,build_wind_non-float,1,0,0,1,1
146,build_wind_non-float,1,0,0,1,1
147,build_wind_float,1,0,0,1,1
148,headlamps,2,1,3,2,3
149,build_wind_float,1,3,2,0,7
150,build_wind_non-float,1,0,0,1,1
151,build_wind_float,1,0,0,1,1
152,build_wind_float,1,0,0,1,1
153,build_wind_non-float,1,0,0,1,1
154,build_wind_float,1,0,0,1,1
155,headlamps,2,1,3,2,3
156,build_wind_float,1,0,0,1,1
157,build_wind_non-float,1,3,2,0,4
158,build_wind_non-float,1,0,0,1,1
159,build_wind_float,1,3,2,0,7
160,build_wind_float,1,3,2,0,7
161,build_wind_non-float,1,0,0,1,7
162,build_wind_float,1,0,0,1,1
163,build_wind_float,1,3,2,0,7
164,containers,3,2,1,3,2
165,headlamps,2,1,3,2,4
166,build_wind_non-float,1,0,0,1,1
167,vehic_wind_float,1,0,0,1,1
168,build_wind_non-float,2,1,1,3,2
169,build_wind_non-float,1,3,2,0,4
170,build_wind_float,1,3,2,0,7
171,build_wind_float,1,3,2,0,7
172,build_wind_non-float,1,0,0,1,1
173,headlamps,2,1,1,3,2
174,build_wind_non-float,1,0,0,1,1
175,build_wind_non-float,1,0,0,1,1
176,build_wind_float,1,0,0,1,1
177,build_wind_non-float,1,0,0,1,1
178,vehic_wind_float,1,0,0,1,1
179,containers,0,4,5,5,5
180,build_wind_float,1,0,0,1,1
181,build_wind_float,1,0,0,1,1
182,build_wind_non-float,1,0,0,1,1
183,build_wind_non-float,1,0,0,1,1
184,build_wind_float,1,0,0,1,1
185,headlamps,2,1,3,2,3
186,build_wind_float,1,3,2,0,7
187,build_wind_non-float,1,0,0,1,1
188,build_wind_non-float,3,2,4,4,6
189,build_wind_non-float,3,2,4,4,6
190,tableware,2,1,3,2,3
191,build_wind_float,1,0,0,1,1
192,build_wind_non-float,1,0,0,1,1
193,build_wind_float,1,0,0,1,7
194,build_wind_non-float,1,0,0,1,1
195,build_wind_non-float,1,0,0,1,1
