,true_label,2,3,4
0,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,1,1,1,0
6,1,1,1,0
7,2,1,1,0
8,2,1,1,0
9,1,1,0,1
10,1,1,1,0
11,1,1,1,0
12,1,1,1,0
13,1,1,1,0
14,1,1,1,0
15,1,1,1,0
16,1,1,1,0
17,1,1,1,0
18,1,1,1,0
19,1,1,1,0
20,1,1,1,0
21,1,1,1,0
22,1,1,1,0
23,1,1,1,0
24,2,1,0,1
25,1,1,1,0
26,1,1,1,0
27,1,1,1,0
28,1,1,1,0
29,1,1,1,0
30,1,1,1,0
31,1,1,1,0
32,1,1,1,0
33,1,1,1,0
34,2,1,1,0
35,1,1,1,0
36,1,1,1,0
37,1,1,1,0
38,1,1,1,0
39,1,1,1,0
40,1,1,1,0
41,1,1,1,0
42,1,1,1,0
43,2,1,0,1
44,2,1,1,0
45,2,1,1,0
46,1,1,1,0
47,1,1,1,0
48,1,1,1,0
49,1,1,1,0
50,1,1,1,0
51,1,1,1,0
52,1,1,1,0
53,2,1,1,0
54,2,1,1,0
55,1,1,1,0
56,1,1,1,0
57,1,1,1,0
58,1,1,1,0
59,1,1,0,1
60,1,1,1,0
61,1,1,1,0
62,2,1,0,1
63,2,1,1,0
64,2,1,1,0
65,2,1,1,0
66,1,1,0,1
67,1,1,1,0
68,1,1,1,0
69,1,1,1,0
70,1,1,1,0
71,1,1,1,0
72,1,1,1,0
73,2,1,1,0
74,2,1,1,0
75,2,1,0,1
76,1,1,1,0
77,1,1,1,0
78,1,1,1,0
79,1,1,0,1
80,2,1,1,0
81,2,1,1,0
82,2,1,1,0
83,1,1,1,0
84,1,1,1,0
85,1,1,0,1
86,1,1,1,0
87,1,1,1,0
88,1,1,1,0
89,2,1,1,0
90,2,1,1,0
91,2,1,1,0
92,2,1,0,1
93,1,1,1,0
94,1,1,1,0
95,1,1,1,0
96,2,1,0,1
97,2,1,1,3
98,2,1,1,3
99,1,1,1,3
100,1,1,1,3
101,1,1,1,3
102,1,1,1,3
103,1,1,1,3
104,1,1,1,3
105,1,1,1,3
106,1,1,1,1
107,2,1,1,3
108,2,1,1,3
109,2,1,1,3
110,1,1,1,3
111,1,1,1,3
112,1,1,1,3
113,1,1,1,3
114,2,1,1,3
115,2,1,1,3
116,1,1,1,3
117,1,1,1,3
118,1,1,1,3
119,1,1,1,3
120,1,1,1,3
121,1,1,1,3
122,1,1,1,3
123,1,1,1,3
124,2,1,0,1
125,2,1,1,3
126,1,1,1,3
127,1,1,1,3
128,1,1,1,3
129,1,1,1,3
130,1,1,1,3
131,1,1,1,3
132,1,1,1,3
133,1,1,1,3
134,1,1,1,3
135,1,1,1,3
136,2,1,0,1
137,2,1,1,3
138,1,1,1,3
139,1,1,1,3
140,1,1,1,3
141,1,1,1,3
142,2,1,1,3
143,2,1,1,3
144,2,1,1,3
145,2,1,1,3
146,1,1,1,3
147,1,1,1,3
148,1,1,1,3
149,1,1,1,3
150,1,1,1,3
151,1,1,1,3
152,1,1,1,3
153,1,1,1,3
154,1,1,1,3
155,1,1,1,3
156,2,1,1,3
157,2,1,1,3
158,2,1,1,3
159,2,1,1,3
160,2,0,0,1
161,2,0,0,3
162,1,1,1,3
163,1,1,1,3
164,1,1,1,3
165,1,1,1,3
166,1,1,1,3
167,2,0,0,3
168,2,0,0,1
169,2,0,2,3
170,2,0,2,3
171,1,0,2,3
172,1,0,2,3
173,1,0,2,3
174,1,0,0,1
175,1,0,2,3
176,1,0,2,3
177,1,0,0,1
178,1,0,2,3
179,1,0,2,3
180,2,0,2,3
181,2,0,0,1
182,1,0,2,3
183,1,0,2,3
184,1,0,2,3
185,1,0,0,1
186,1,0,2,3
187,1,0,2,3
188,1,0,0,1
189,1,0,2,3
190,2,0,2,3
191,2,0,2,3
192,1,0,2,3
193,1,0,2,3
194,1,0,2,3
195,1,0,2,3
196,1,0,2,3
197,2,0,2,3
198,2,0,0,1
199,2,0,2,3
200,1,0,2,3
201,1,0,2,3
202,1,0,2,3
203,1,0,2,3
204,1,0,2,3
205,1,0,2,3
206,1,0,2,3
207,1,0,2,3
208,1,0,2,3
209,1,0,2,3
210,1,0,2,3
211,1,0,2,3
212,1,0,2,3
213,1,0,2,3
214,1,0,2,3
215,2,0,0,1
216,1,0,2,3
217,1,0,2,3
218,1,0,2,3
219,1,0,2,3
220,1,0,2,3
221,1,0,2,3
222,1,0,2,3
223,2,0,0,1
224,2,0,2,2
225,1,0,2,2
226,1,0,2,2
227,1,0,0,1
228,1,0,2,2
229,2,0,2,2
230,2,0,2,2
231,2,0,2,2
232,1,0,2,2
233,1,0,2,2
234,1,0,2,2
235,1,0,2,2
236,1,0,2,2
237,1,0,2,2
238,2,0,2,2
239,2,0,2,2
240,2,0,0,1
241,1,0,2,2
242,1,0,2,2
243,1,0,2,2
244,1,0,2,2
245,2,0,2,2
246,1,0,2,2
247,1,0,2,2
248,1,0,2,2
249,1,0,2,2
250,1,0,2,2
251,1,0,2,2
252,1,0,0,1
253,1,0,2,2
254,1,0,0,1
255,1,0,2,2
256,1,0,2,2
257,1,0,2,2
258,2,0,2,2
259,2,0,2,2
260,2,0,0,1
261,2,0,2,2
262,1,0,2,2
263,1,0,2,2
264,1,0,2,2
265,1,0,2,2
266,1,0,2,2
267,1,0,2,2
268,2,0,2,2
269,2,0,2,2
270,1,0,2,2
271,1,0,2,2
272,1,0,2,2
273,2,0,2,2
274,2,0,2,2
275,1,0,2,2
276,1,0,2,2
277,1,0,2,2
278,1,0,2,2
279,1,0,2,2
280,1,0,2,2
281,2,0,2,2
282,1,0,2,2
283,1,0,2,2
284,1,0,2,2
285,2,0,2,2
286,2,0,2,2
287,1,0,2,2
288,1,0,2,2
289,1,0,2,2
290,1,0,2,2
291,1,0,2,2
292,1,0,2,2
293,2,0,2,2
294,1,0,2,2
295,1,0,2,2
296,1,0,2,2
297,1,0,2,2
298,1,0,2,2
299,2,0,2,2
300,1,0,2,2
301,1,0,2,2
302,1,0,2,2
303,1,0,2,2
304,2,0,2,2
305,2,0,2,2
