,true_label,2,3,4,5
0,Iris-setosa,0,0,0,0
1,Iris-setosa,0,0,0,0
2,Iris-setosa,0,0,0,0
3,Iris-virginica,1,2,1,1
4,Iris-setosa,0,0,0,0
5,Iris-versicolor,1,1,3,4
6,Iris-versicolor,1,1,2,4
7,Iris-versicolor,1,1,2,2
8,Iris-setosa,0,0,0,0
9,Iris-virginica,1,2,1,3
10,Iris-virginica,1,2,1,1
11,Iris-virginica,1,1,3,4
12,Iris-versicolor,1,1,3,4
13,Iris-virginica,1,1,2,2
14,Iris-versicolor,1,1,2,2
15,Iris-virginica,1,1,3,1
16,Iris-setosa,0,0,0,0
17,Iris-versicolor,1,1,3,4
18,Iris-setosa,0,0,0,0
19,Iris-virginica,1,2,1,1
20,Iris-virginica,1,2,3,1
21,Iris-virginica,1,2,1,1
22,Iris-setosa,0,0,0,0
23,Iris-virginica,1,1,3,4
24,Iris-versicolor,1,1,3,4
25,Iris-versicolor,1,1,3,4
26,Iris-setosa,0,0,0,0
27,Iris-versicolor,1,2,3,4
28,Iris-versicolor,1,1,2,2
29,Iris-setosa,0,0,0,0
30,Iris-setosa,0,0,0,0
31,Iris-setosa,0,0,0,0
32,Iris-versicolor,1,1,3,4
33,Iris-versicolor,1,1,3,4
34,Iris-virginica,1,2,1,3
35,Iris-versicolor,1,1,2,2
36,Iris-virginica,1,2,1,3
37,Iris-virginica,1,1,3,4
38,Iris-versicolor,1,1,3,4
39,Iris-virginica,1,2,1,1
40,Iris-setosa,0,0,0,0
41,Iris-versicolor,1,1,2,2
42,Iris-setosa,0,0,0,0
43,Iris-virginica,1,2,1,1
44,Iris-setosa,0,0,0,0
45,Iris-versicolor,1,1,2,2
46,Iris-setosa,0,0,0,0
47,Iris-setosa,0,0,0,0
48,Iris-versicolor,1,1,2,2
49,Iris-virginica,1,1,3,4
50,Iris-virginica,1,1,3,4
51,Iris-virginica,1,2,1,1
52,Iris-versicolor,1,1,2,4
53,Iris-setosa,0,0,0,0
54,Iris-setosa,0,0,0,0
55,Iris-setosa,0,0,0,0
56,Iris-versicolor,1,1,2,2
57,Iris-versicolor,0,1,2,2
58,Iris-virginica,1,2,1,1
59,Iris-virginica,1,1,3,4
60,Iris-versicolor,1,1,2,2
61,Iris-virginica,1,2,1,3
62,Iris-setosa,0,0,0,0
63,Iris-virginica,1,2,1,3
64,Iris-virginica,1,2,3,1
65,Iris-virginica,1,1,3,4
66,Iris-versicolor,1,1,3,4
67,Iris-setosa,0,0,0,0
68,Iris-setosa,0,0,0,0
69,Iris-setosa,0,0,0,0
70,Iris-versicolor,1,1,3,4
71,Iris-versicolor,0,1,2,2
72,Iris-setosa,0,0,0,0
73,Iris-virginica,1,1,3,4
74,Iris-versicolor,1,1,2,2
75,Iris-virginica,1,2,1,1
76,Iris-versicolor,1,2,3,4
77,Iris-versicolor,1,1,3,4
78,Iris-setosa,0,0,0,0
79,Iris-versicolor,1,1,2,2
80,Iris-virginica,1,2,1,1
81,Iris-virginica,1,2,1,3
82,Iris-virginica,1,2,1,1
83,Iris-setosa,0,0,0,0
84,Iris-setosa,0,0,0,0
85,Iris-setosa,0,0,0,0
86,Iris-virginica,1,2,1,1
87,Iris-setosa,0,0,0,0
88,Iris-versicolor,1,1,2,2
89,Iris-versicolor,1,1,3,4
90,Iris-virginica,1,2,3,4
91,Iris-setosa,0,0,0,0
92,Iris-setosa,0,0,0,0
93,Iris-virginica,1,1,3,4
94,Iris-virginica,1,2,1,3
95,Iris-versicolor,1,1,3,4
96,Iris-versicolor,1,1,3,4
97,Iris-setosa,0,0,0,0
98,Iris-setosa,0,0,0,0
99,Iris-versicolor,1,1,2,2
100,Iris-virginica,1,2,3,1
101,Iris-versicolor,1,1,3,4
102,Iris-setosa,0,0,0,0
103,Iris-versicolor,1,1,2,2
104,Iris-virginica,1,2,1,1
105,Iris-virginica,1,2,1,1
106,Iris-virginica,1,2,1,3
107,Iris-setosa,0,0,0,0
108,Iris-setosa,0,0,0,0
109,Iris-setosa,0,0,0,0
110,Iris-setosa,0,0,0,0
111,Iris-versicolor,1,1,2,2
112,Iris-virginica,1,2,1,1
113,Iris-versicolor,1,1,2,2
114,Iris-setosa,0,0,0,0
115,Iris-virginica,1,1,3,4
116,Iris-versicolor,1,1,2,2
117,Iris-versicolor,1,1,3,4
118,Iris-virginica,1,2,1,3
119,Iris-versicolor,1,1,2,2
120,Iris-setosa,0,0,0,0
121,Iris-setosa,0,0,0,0
122,Iris-setosa,0,0,0,0
123,Iris-setosa,0,0,0,0
124,Iris-setosa,0,0,0,0
125,Iris-virginica,1,2,1,3
126,Iris-versicolor,1,1,2,2
127,Iris-versicolor,1,1,3,4
128,Iris-virginica,1,2,1,1
129,Iris-virginica,1,2,1,3
130,Iris-versicolor,1,1,3,4
131,Iris-virginica,1,2,1,1
132,Iris-versicolor,1,1,3,4
133,Iris-virginica,1,1,3,4
134,Iris-versicolor,0,1,2,2
135,Iris-virginica,1,2,1,1
136,Iris-versicolor,1,1,3,4
137,Iris-setosa,0,0,0,0
138,Iris-setosa,0,0,0,0
139,Iris-setosa,0,0,0,0
140,Iris-versicolor,1,1,2,2
141,Iris-setosa,0,0,0,0
142,Iris-virginica,1,1,3,4
143,Iris-virginica,1,2,1,3
144,Iris-versicolor,1,1,3,4
145,Iris-virginica,1,2,1,1
146,Iris-versicolor,1,1,3,4
147,Iris-virginica,1,2,1,1
148,Iris-setosa,0,0,0,0
149,Iris-versicolor,1,1,2,2
