,true_label,24,25,26,27,28
0,Z,1,10,20,11,4
1,P,15,5,12,5,25
2,S,17,23,21,4,22
3,H,6,11,7,10,8
4,H,4,2,25,22,9
5,F,10,20,5,6,11
6,N,8,6,0,8,26
7,R,13,7,14,20,15
8,M,16,19,17,16,6
9,D,13,7,14,20,15
10,V,2,9,24,14,5
11,A,17,17,9,0,19
12,K,3,5,6,2,25
13,D,20,23,21,4,20
14,S,0,18,13,9,3
15,H,0,18,13,9,3
16,E,14,16,8,1,1
17,Z,1,10,20,11,4
18,O,15,3,12,5,13
19,Q,3,5,6,5,25
20,Q,5,1,18,23,2
21,L,11,22,11,7,17
22,V,19,12,22,3,16
23,X,9,8,16,26,0
24,V,16,21,17,21,6
25,M,16,21,17,21,6
26,Y,10,4,5,6,11
27,D,1,10,20,11,4
28,E,7,13,15,18,27
29,N,17,23,21,4,22
30,A,21,17,1,0,19
31,D,15,3,12,13,13
32,Z,3,5,6,2,12
33,N,23,4,2,12,10
34,X,5,1,18,23,2
35,F,8,6,0,15,12
36,N,23,19,2,5,10
37,L,11,22,11,7,17
38,N,23,19,2,16,10
39,Z,1,10,20,11,4
40,Y,4,20,19,22,12
41,I,13,7,14,20,15
42,W,8,6,0,8,26
43,U,19,7,22,20,15
44,O,17,23,18,23,2
45,T,19,4,23,12,24
46,O,15,3,12,16,13
47,P,12,21,4,21,21
48,C,19,4,10,12,24
49,G,14,16,10,5,1
50,B,12,5,4,2,21
51,K,9,8,16,26,0
52,W,8,6,0,15,26
53,V,2,9,24,14,5
54,W,23,19,2,15,10
55,H,12,21,4,23,21
56,Z,7,13,15,18,27
57,J,1,10,20,11,4
58,F,19,4,23,12,24
59,D,5,1,18,23,2
60,S,1,10,20,11,4
61,T,0,18,25,9,3
62,O,5,1,18,23,2
63,Z,7,13,15,18,27
64,B,5,1,18,13,2
65,F,19,4,23,12,24
66,M,16,21,17,21,6
67,T,2,9,24,14,5
68,O,5,1,18,23,2
69,K,9,8,16,26,0
70,Z,1,10,20,11,4
71,T,19,4,23,12,24
72,W,8,6,0,15,26
