,true_label,2,3,4,5
0,1,0,2,0,2
1,1,0,0,2,1
2,1,0,0,2,1
3,1,0,0,0,1
4,1,0,0,2,1
5,1,0,2,0,2
6,1,0,0,0,2
7,1,0,2,0,2
8,1,0,2,0,2
9,1,0,0,2,1
10,1,0,0,2,1
11,1,0,2,0,2
12,1,0,2,0,2
13,1,0,0,2,1
14,1,0,0,2,1
15,1,0,2,0,2
16,1,0,0,2,1
17,1,0,0,2,1
18,1,0,0,2,1
19,1,0,0,2,1
20,1,0,0,2,1
21,1,0,2,0,2
22,1,0,0,2,1
23,1,0,0,2,1
24,1,0,0,2,1
25,1,0,0,2,1
26,1,0,2,0,2
27,1,0,2,0,2
28,1,0,2,0,2
29,1,0,2,0,2
30,1,0,2,0,2
31,1,0,2,0,2
32,1,0,0,2,1
33,1,0,2,0,2
34,1,0,0,0,2
35,1,0,2,0,2
36,1,0,0,2,1
37,1,0,0,2,1
38,1,0,2,0,2
39,1,0,0,2,1
40,1,0,2,0,2
41,1,0,0,2,1
42,1,0,0,2,1
43,1,0,2,0,2
44,1,0,0,2,1
45,1,0,0,2,1
46,1,0,0,2,1
47,1,0,0,0,2
48,1,0,2,0,2
49,1,0,0,0,2
50,1,0,0,2,1
51,1,0,0,0,2
52,1,0,2,0,2
53,1,0,0,2,1
54,1,0,0,2,1
55,1,0,2,0,2
56,1,0,0,2,1
57,1,0,0,0,2
58,1,0,0,2,1
59,1,0,0,2,1
60,1,0,0,0,2
61,1,0,0,2,1
62,1,0,2,0,2
63,1,0,0,2,1
64,1,0,2,0,2
65,1,0,0,2,1
66,1,0,0,2,1
67,1,0,0,2,1
68,1,0,0,2,1
69,1,0,0,2,1
70,1,0,0,2,1
71,1,0,0,2,1
72,1,0,0,2,1
73,1,0,2,0,2
74,1,0,0,2,1
75,1,0,2,0,2
76,1,0,2,0,2
77,1,0,0,2,1
78,1,0,0,2,1
79,1,0,0,2,1
80,1,0,0,0,2
81,1,0,0,2,1
82,1,0,0,2,1
83,1,0,0,2,1
84,1,0,2,0,2
85,1,0,2,0,2
86,1,0,2,0,2
87,1,0,0,2,1
88,1,0,2,0,2
89,1,0,0,2,1
90,1,0,0,2,1
91,1,0,2,0,2
92,1,0,0,2,1
93,1,0,0,2,1
94,1,0,0,2,1
95,1,0,2,0,2
96,1,0,0,2,1
97,1,0,0,2,1
98,1,0,2,0,2
99,1,0,2,0,2
100,1,0,2,0,2
101,1,0,0,0,2
102,1,0,0,2,1
103,1,0,2,0,2
104,1,0,0,2,1
105,1,0,2,0,2
106,1,0,0,2,1
107,1,0,0,2,1
108,1,0,2,0,2
109,1,0,2,0,2
110,1,0,0,2,1
111,1,0,0,2,1
112,1,0,0,2,1
113,1,0,2,0,2
114,1,0,0,2,1
115,1,0,0,2,1
116,1,0,0,2,1
117,1,0,0,0,2
118,1,0,0,2,1
119,1,0,0,2,1
120,1,0,2,0,2
121,1,0,0,2,1
122,1,0,0,2,1
123,1,0,0,2,1
124,1,0,2,0,2
125,1,0,0,2,1
126,1,0,0,2,1
127,1,0,0,2,1
128,1,0,0,2,1
129,1,0,0,2,1
130,1,0,0,2,1
131,1,0,2,0,2
132,1,0,0,2,1
133,1,0,0,2,1
134,1,0,0,2,1
135,1,0,0,2,1
136,1,0,0,2,1
137,1,0,2,0,2
138,1,0,2,0,2
139,1,0,2,0,2
140,1,0,2,0,2
141,1,0,0,2,1
142,1,0,0,2,1
143,1,0,2,0,2
144,1,0,0,0,2
145,1,0,0,2,1
146,1,0,0,2,1
147,1,0,2,0,2
148,1,0,2,0,2
149,1,0,0,2,1
150,1,0,0,0,2
151,1,0,2,0,2
152,1,0,0,2,1
153,1,0,0,2,1
154,1,0,0,2,1
155,1,0,0,2,1
156,1,0,0,2,1
157,1,0,2,0,2
158,1,0,0,2,1
159,1,0,0,2,1
160,1,0,0,2,1
161,1,0,0,2,1
162,1,0,0,2,1
163,1,0,2,0,2
164,1,0,2,0,2
165,1,0,0,2,1
166,1,0,2,0,2
167,1,0,0,0,2
168,1,0,2,0,2
169,1,0,0,2,1
170,1,0,0,2,1
171,1,0,2,0,2
172,1,0,0,2,1
173,1,0,0,2,1
174,1,0,2,0,2
175,1,0,0,2,1
176,1,0,0,2,1
177,1,0,2,0,2
178,1,0,2,0,2
179,1,0,0,2,1
180,1,0,2,0,2
181,1,0,2,0,2
182,1,0,0,2,1
183,1,0,2,0,2
184,1,0,0,2,1
185,1,0,2,0,2
186,1,0,0,2,1
187,1,0,0,2,1
188,1,0,0,2,1
189,1,0,0,2,1
190,1,0,2,0,2
191,1,0,2,0,2
192,1,0,0,2,1
193,1,0,0,2,1
194,1,0,0,2,1
195,1,0,2,0,2
196,1,0,0,2,1
197,1,0,0,2,1
198,1,0,0,0,2
199,1,0,0,2,1
200,2,1,1,3,3
201,2,1,1,3,4
202,2,1,1,3,4
203,2,1,1,3,3
204,2,1,0,2,4
205,2,1,1,3,4
206,2,0,0,2,4
207,2,1,1,3,3
208,2,1,1,3,3
209,2,1,1,3,3
210,2,1,1,3,3
211,2,1,1,1,4
212,2,1,1,3,3
213,2,1,1,3,3
214,2,1,1,3,3
215,2,1,1,3,3
216,2,1,1,3,3
217,2,0,0,2,4
218,2,1,1,3,3
219,2,1,1,3,4
220,2,0,0,2,4
221,2,1,1,3,3
222,2,1,1,3,3
223,2,1,1,3,4
224,2,1,1,3,4
225,2,1,1,3,3
226,2,1,1,3,3
227,2,1,1,3,3
228,2,1,0,2,4
229,2,1,1,3,3
230,2,1,1,3,4
231,2,1,0,2,4
232,2,1,1,3,3
233,2,1,1,3,3
234,2,1,1,3,3
235,2,1,1,3,3
236,2,1,1,3,3
237,2,1,1,3,3
238,2,1,1,3,4
239,2,1,1,3,3
240,2,1,1,3,4
241,2,0,0,2,4
242,2,1,1,3,3
243,2,1,1,3,3
244,2,1,1,3,3
245,2,1,1,3,3
246,2,1,1,3,4
247,2,1,1,3,3
248,2,1,1,3,3
249,2,1,1,3,3
250,2,0,0,2,4
