"class","Kmed","MSS","Kmed_sq","MSS_sq"
"Iris-setosa",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-setosa",1,1,1,1
"Iris-versicolor",1,1,1,1
"Iris-virginica",1,1,1,1
"Iris-virginica",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-setosa",3,3,3,3
"Iris-setosa",2,3,3,3
"Iris-setosa",3,3,3,3
"Iris-versicolor",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-virginica",2,2,2,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-versicolor",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-setosa",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-setosa",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-virginica",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-setosa",3,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-setosa",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-virginica",3,3,3,3
"Iris-setosa",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-setosa",2,3,2,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",3,3,3,3
"Iris-setosa",2,2,2,2
"Iris-setosa",3,3,3,3
"Iris-setosa",2,2,2,2
"Iris-setosa",2,3,3,3
"Iris-setosa",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,3,3,3
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,3,3,3
"Iris-versicolor",3,3,3,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-setosa",2,3,3,3
"Iris-setosa",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-virginica",3,3,3,3
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,2,2,2
"Iris-virginica",2,2,2,2
"Iris-versicolor",2,3,3,3
"Iris-virginica",2,2,2,2
"Iris-setosa",2,2,2,2
"Iris-versicolor",2,3,3,3
