,true_label,2,3,4
0,Rock,1,0,1
1,Rock,0,2,2
2,Rock,0,2,2
3,Rock,1,0,3
4,Rock,0,1,0
5,Rock,0,2,2
6,Rock,0,2,2
7,Rock,0,2,2
8,Rock,0,1,0
9,Rock,0,1,0
10,Rock,1,0,1
11,Rock,0,1,0
12,Rock,0,2,2
13,Rock,1,1,1
14,Rock,1,1,0
15,Rock,1,0,1
16,Rock,1,0,3
17,Rock,0,2,2
18,Rock,1,1,1
19,Rock,0,2,2
20,Rock,1,0,1
21,Rock,1,0,3
22,Rock,1,0,3
23,Rock,1,0,1
24,Rock,1,0,3
25,Rock,1,0,1
26,Rock,0,2,2
27,Rock,0,1,0
28,Rock,0,2,2
29,Rock,0,1,0
30,Rock,0,1,0
31,Rock,0,1,0
32,Rock,0,2,2
33,Rock,0,2,1
34,Rock,0,2,2
35,Rock,0,1,0
36,Rock,1,0,1
37,Rock,1,1,1
38,Rock,1,1,0
39,Rock,1,0,1
40,Rock,1,1,1
41,Rock,1,0,1
42,Rock,1,0,1
43,Rock,1,0,1
44,Rock,1,0,3
45,Rock,0,2,1
46,Rock,0,2,2
47,Rock,1,0,1
48,Rock,1,1,1
49,Rock,1,1,1
50,Rock,1,0,3
51,Rock,1,1,1
52,Rock,0,1,0
53,Rock,1,1,0
54,Rock,1,1,0
55,Rock,1,1,0
56,Rock,1,1,0
57,Rock,1,0,1
58,Rock,1,1,1
59,Rock,1,1,1
60,Rock,1,1,1
61,Rock,1,1,1
62,Rock,1,1,1
63,Rock,1,0,1
64,Rock,1,0,3
65,Rock,1,0,3
66,Rock,1,0,3
67,Rock,1,0,3
68,Rock,1,0,1
69,Rock,1,1,0
70,Rock,1,1,0
71,Rock,1,1,0
72,Rock,1,1,0
73,Rock,1,1,0
74,Rock,0,2,2
75,Rock,0,2,2
76,Rock,0,2,2
77,Rock,0,2,2
78,Rock,0,2,2
79,Rock,0,2,2
80,Rock,0,2,2
81,Rock,0,2,2
82,Rock,0,2,2
83,Rock,0,2,2
84,Rock,0,2,2
85,Rock,0,2,2
86,Rock,0,2,2
87,Rock,0,2,2
88,Rock,0,2,2
89,Rock,0,2,2
90,Rock,0,2,2
91,Rock,1,1,0
92,Rock,1,1,0
93,Rock,1,1,0
94,Rock,1,1,0
95,Rock,1,0,3
96,Rock,1,0,3
97,Mine,1,0,3
98,Mine,1,1,0
99,Mine,1,1,0
100,Mine,0,2,2
101,Mine,0,2,2
102,Mine,0,2,2
103,Mine,0,2,2
104,Mine,0,2,2
105,Mine,0,2,2
106,Mine,0,2,2
107,Mine,0,2,2
108,Mine,0,2,2
109,Mine,0,2,2
110,Mine,0,2,2
111,Mine,0,2,2
112,Mine,0,2,2
113,Mine,0,2,2
114,Mine,0,2,2
115,Mine,0,2,2
116,Mine,0,2,2
117,Mine,0,2,2
118,Mine,0,1,0
119,Mine,0,2,2
120,Mine,0,1,0
121,Mine,0,2,2
122,Mine,0,2,2
123,Mine,0,2,2
124,Mine,0,2,2
125,Mine,0,2,2
126,Mine,0,2,2
127,Mine,0,2,2
128,Mine,0,2,2
129,Mine,0,2,2
130,Mine,0,2,2
131,Mine,1,0,3
132,Mine,1,0,3
133,Mine,1,0,3
134,Mine,1,0,3
135,Mine,1,0,3
136,Mine,1,0,3
137,Mine,0,1,1
138,Mine,1,1,0
139,Mine,1,1,0
140,Mine,1,0,1
141,Mine,1,1,1
142,Mine,1,0,1
143,Mine,1,0,1
144,Mine,1,0,1
145,Mine,1,0,1
146,Mine,1,0,3
147,Mine,0,1,1
148,Mine,0,1,0
149,Mine,0,1,0
150,Mine,0,2,2
151,Mine,0,2,2
152,Mine,0,2,2
153,Mine,0,2,2
154,Mine,0,2,2
155,Mine,0,2,2
156,Mine,1,0,1
157,Mine,1,0,3
158,Mine,1,0,3
159,Mine,1,0,3
160,Mine,1,0,1
161,Mine,1,0,3
162,Mine,1,1,0
163,Mine,0,2,2
164,Mine,1,0,1
165,Mine,0,2,1
166,Mine,1,0,3
167,Mine,1,0,1
168,Mine,1,1,1
169,Mine,1,1,1
170,Mine,1,0,1
171,Mine,0,1,1
172,Mine,1,1,1
173,Mine,0,1,0
174,Mine,0,1,0
175,Mine,0,1,0
176,Mine,0,1,0
177,Mine,1,1,0
178,Mine,1,1,0
179,Mine,1,1,0
180,Mine,0,1,0
181,Mine,1,1,0
182,Mine,1,1,0
183,Mine,1,1,0
184,Mine,0,1,0
185,Mine,0,1,0
186,Mine,1,1,0
187,Mine,1,1,0
188,Mine,1,1,0
189,Mine,1,1,0
190,Mine,1,1,0
191,Mine,1,1,0
192,Mine,1,1,0
193,Mine,1,1,0
194,Mine,1,1,0
195,Mine,0,1,0
196,Mine,0,1,0
197,Mine,0,1,0
198,Mine,0,1,0
199,Mine,0,1,0
200,Mine,0,1,0
201,Mine,0,1,0
202,Mine,1,1,0
203,Mine,1,1,0
204,Mine,1,1,0
205,Mine,1,1,0
206,Mine,1,1,0
207,Mine,1,1,0
