,true_label,2,3,4,5
0,3,0,1,1,0
1,3,0,1,1,0
2,3,1,2,2,1
3,3,1,0,0,3
4,3,1,2,2,1
5,3,0,1,1,0
6,3,0,1,1,0
7,3,0,0,1,3
8,3,1,2,2,1
9,3,0,1,1,0
10,3,0,1,3,4
11,3,0,0,1,3
12,3,0,0,0,2
13,3,1,0,0,2
14,2,1,0,0,2
15,2,1,0,0,2
16,2,0,1,3,4
17,2,1,2,2,1
18,2,0,1,1,0
19,2,1,0,0,2
20,2,0,1,1,0
21,2,0,1,1,0
22,2,1,0,0,3
23,2,0,0,3,4
24,2,1,0,0,2
25,2,0,1,3,4
26,2,0,1,1,3
27,2,1,0,0,2
28,1,1,2,2,1
29,1,0,1,1,0
30,1,1,2,2,1
31,1,0,1,1,0
32,1,1,0,1,3
33,1,0,1,1,0
34,1,1,0,0,3
35,1,1,0,0,2
36,1,0,0,3,4
37,1,1,2,2,1
38,1,1,0,0,2
39,3,0,1,1,0
40,3,0,1,1,0
41,3,1,2,2,1
42,3,1,0,0,3
43,3,1,2,2,1
44,3,0,1,1,0
45,3,0,1,1,0
46,3,0,0,1,3
47,3,1,2,2,1
48,3,0,1,1,0
49,3,0,1,3,4
50,3,0,0,1,3
51,3,0,0,0,2
52,3,1,0,0,2
53,2,1,0,0,2
54,2,1,0,0,2
55,2,0,1,3,4
56,2,1,2,2,1
57,2,0,1,1,0
58,2,1,0,0,2
59,2,0,1,1,0
60,2,0,1,1,0
61,2,1,0,0,3
62,2,0,0,3,4
63,2,1,0,0,2
64,2,0,1,3,4
65,2,0,1,1,3
66,2,1,0,0,2
67,1,1,2,2,1
68,1,0,1,1,0
69,1,1,2,2,1
70,1,0,1,1,0
71,1,1,0,1,3
72,1,0,1,1,0
73,1,1,0,0,3
74,1,1,0,0,2
75,1,0,0,3,4
76,1,1,2,2,1
77,1,1,0,0,2
78,3,0,1,1,0
79,3,0,1,1,0
80,3,0,1,3,4
81,3,1,0,0,3
82,3,0,1,1,0
83,3,0,1,3,4
84,3,1,2,2,1
85,3,0,1,3,4
86,3,0,1,1,0
87,3,0,1,1,0
88,3,1,2,2,1
89,3,0,1,3,4
90,3,0,1,3,4
91,3,0,1,1,3
92,3,0,0,3,4
93,3,1,0,0,2
94,3,1,0,0,3
95,2,0,1,3,4
96,2,0,1,3,4
97,2,0,1,1,0
98,2,0,1,1,0
99,2,0,1,1,0
100,2,1,0,0,2
101,2,0,1,1,0
102,2,0,1,1,0
103,2,1,0,0,2
104,2,0,1,1,0
105,2,0,1,1,0
106,2,0,1,1,0
107,1,0,1,1,0
108,1,1,2,2,1
109,1,0,0,1,3
110,1,0,1,1,0
111,1,1,0,0,3
112,1,1,0,0,2
113,1,0,0,1,3
114,1,1,0,0,3
115,1,0,1,1,3
116,1,1,2,2,1
117,1,0,1,1,0
118,1,1,0,0,3
119,1,0,1,1,0
120,1,0,1,1,0
121,3,0,1,3,4
122,3,0,1,3,0
123,3,0,1,1,0
124,3,1,0,0,2
125,3,1,2,2,1
126,3,0,0,0,3
127,3,1,2,2,1
128,2,0,1,1,0
129,2,0,1,3,0
130,2,0,1,3,4
131,2,1,0,0,2
132,2,0,1,3,4
133,2,0,1,3,4
134,2,0,0,3,4
135,2,0,1,1,3
136,2,0,1,3,0
137,2,1,2,2,1
138,1,1,0,0,3
139,1,0,1,1,0
140,1,0,1,1,0
141,1,0,0,0,2
142,1,0,1,3,4
143,1,1,0,0,3
144,1,0,1,1,0
145,1,0,1,1,0
146,1,0,0,1,3
147,1,0,1,1,0
148,1,1,2,2,1
149,1,1,2,2,1
150,1,0,0,0,3
