,true_label,2,3,4,5
0,1,0,0,2,0
1,1,1,0,2,4
2,1,1,0,0,1
3,1,0,0,2,4
4,1,0,0,2,0
5,1,0,0,2,0
6,1,0,0,2,4
7,1,1,0,0,4
8,1,0,0,2,0
9,1,0,0,2,0
10,1,0,0,2,0
11,1,0,0,2,4
12,1,1,0,0,4
13,1,1,0,2,4
14,1,1,0,0,4
15,1,0,0,2,4
16,1,0,0,2,4
17,1,1,0,0,4
18,1,1,0,0,4
19,1,1,0,0,4
20,1,0,0,2,0
21,1,0,0,2,0
22,1,0,0,2,4
23,1,0,0,2,0
24,1,1,0,0,4
25,1,0,0,2,0
26,1,0,0,2,0
27,1,1,0,0,4
28,1,0,0,2,0
29,1,0,0,2,4
30,1,1,0,0,4
31,1,1,0,0,4
32,1,0,0,2,4
33,1,0,1,1,0
34,1,1,0,0,4
35,1,1,0,0,4
36,1,1,0,2,4
37,1,0,0,2,0
38,1,1,0,0,1
39,1,0,1,2,0
40,1,1,0,0,4
41,1,0,0,2,4
42,1,1,0,0,1
43,1,1,0,0,4
44,1,1,0,0,4
45,1,0,0,2,0
46,1,0,0,2,4
47,1,1,0,0,4
48,1,0,1,2,0
49,1,1,0,0,4
50,1,0,1,2,0
51,1,0,0,2,0
52,1,1,0,0,4
53,1,1,0,0,4
54,1,0,0,2,0
55,1,1,0,0,4
56,1,0,1,2,0
57,1,1,0,0,4
58,1,0,0,2,0
59,1,0,0,2,4
60,1,0,0,2,0
61,1,0,0,2,0
62,1,1,0,0,4
63,1,1,0,0,4
64,1,1,0,0,4
65,1,0,0,2,0
66,1,1,0,0,4
67,1,0,1,2,0
68,1,1,0,2,4
69,1,0,0,2,0
70,1,0,1,2,0
71,1,1,0,0,4
72,1,1,0,0,1
73,1,1,0,0,1
74,1,1,0,2,4
75,1,0,0,2,4
76,1,1,0,0,4
77,1,0,0,2,0
78,1,0,0,2,0
79,1,1,0,0,4
80,1,1,0,0,4
81,1,0,1,2,0
82,1,0,0,2,0
83,1,0,1,2,0
84,1,1,0,2,4
85,1,0,0,2,0
86,1,1,0,0,4
87,1,1,0,0,4
88,1,0,0,2,0
89,1,0,0,2,4
90,1,0,0,2,0
91,1,1,0,2,4
92,1,0,0,2,4
93,1,0,1,2,0
94,1,0,0,2,4
95,1,1,0,0,4
96,1,1,0,0,4
97,1,0,0,2,4
98,1,1,0,0,4
99,1,0,0,2,0
100,1,0,0,2,0
101,1,1,0,0,4
102,1,1,0,2,4
103,1,0,0,2,0
104,1,1,0,0,4
105,1,1,0,0,4
106,1,0,0,2,0
107,1,0,0,2,0
108,1,1,0,0,4
109,1,0,0,2,0
110,1,1,0,0,4
111,1,1,0,0,4
112,1,0,0,2,4
113,1,0,0,2,4
114,1,0,0,2,0
115,1,0,0,2,0
116,1,0,0,2,0
117,1,1,0,2,4
118,1,0,0,2,4
119,1,1,0,2,4
120,1,0,0,2,0
121,1,0,1,2,0
122,1,1,0,0,4
123,1,0,0,2,4
124,1,0,0,2,0
125,1,0,0,2,0
126,1,0,0,2,0
127,1,1,0,0,4
128,1,1,0,0,1
129,1,0,0,2,0
130,1,0,0,2,4
131,1,0,0,2,0
132,1,1,0,2,4
133,1,0,0,2,4
134,1,1,0,0,4
135,1,0,0,2,4
136,1,1,0,0,4
137,1,1,0,0,1
138,1,0,0,2,0
139,1,0,0,2,0
140,1,0,0,2,0
141,1,0,1,2,0
142,1,1,0,2,4
143,1,1,0,0,4
144,1,0,1,2,0
145,1,1,0,0,1
146,1,1,0,0,4
147,1,0,0,2,4
148,1,0,0,2,0
149,1,0,0,2,0
150,2,1,0,0,1
151,2,0,0,2,4
152,2,0,0,2,4
153,2,0,1,1,3
154,2,0,1,1,3
155,2,0,1,1,3
156,2,1,0,0,1
157,2,0,0,2,4
158,2,0,1,1,3
159,2,0,1,2,0
160,2,0,1,1,3
161,2,0,1,1,3
162,2,0,1,1,3
163,2,0,0,2,0
164,2,0,1,1,3
165,2,0,1,2,0
166,2,0,1,1,3
167,2,0,1,1,3
168,2,0,1,2,0
169,2,0,1,1,3
170,2,0,1,2,0
171,2,0,1,1,3
172,2,0,1,1,3
173,2,0,1,2,0
174,2,0,1,1,3
175,2,0,1,2,0
176,2,0,1,1,3
177,2,0,0,2,4
178,2,1,0,0,1
179,2,0,0,2,0
180,2,0,1,1,3
181,2,0,1,2,0
182,2,0,0,2,0
183,2,0,1,1,3
184,2,0,1,1,0
185,3,1,2,0,1
186,3,1,2,3,2
187,3,0,0,2,0
188,3,1,0,0,4
189,3,1,2,0,1
190,3,1,2,0,1
191,3,1,2,0,1
192,3,1,2,3,2
193,3,1,2,3,2
194,3,1,2,3,2
195,3,1,2,3,2
196,3,1,0,0,4
197,3,1,2,0,1
198,3,1,2,3,2
199,3,1,2,0,1
200,3,1,2,0,1
201,3,1,2,0,1
202,3,1,2,0,4
203,3,1,2,3,1
204,3,1,2,3,2
205,3,1,2,3,2
206,3,1,2,3,2
207,3,1,2,3,2
208,3,1,2,0,1
209,3,1,2,3,2
210,3,1,0,0,4
211,3,1,2,0,1
212,3,0,0,2,0
213,3,0,1,2,0
214,3,0,0,2,0
