,true_label,5,6,7,8,9
0,1,1,3,5,1,7
1,4,2,2,4,2,4
2,2,0,0,3,4,1
3,5,1,5,1,6,2
4,1,1,3,5,1,5
5,1,3,4,6,5,8
6,2,0,0,3,4,1
7,6,4,1,2,3,6
8,1,1,3,5,1,7
9,7,4,5,2,6,0
10,1,1,3,5,1,7
11,1,1,3,5,1,5
12,4,2,2,4,2,4
13,1,1,3,5,1,7
14,1,1,3,5,1,5
15,1,1,3,5,1,5
16,4,2,2,4,2,4
17,1,1,3,5,1,5
18,1,1,3,5,1,7
19,2,0,0,3,4,1
20,4,2,2,4,2,4
21,7,2,2,0,7,3
22,7,4,5,1,6,2
23,7,4,1,2,3,0
24,2,0,0,3,4,1
25,1,1,3,5,1,5
26,4,2,2,4,2,4
27,1,2,2,4,2,4
28,2,0,0,3,4,1
29,1,1,3,5,1,5
30,2,0,0,3,0,1
31,6,4,1,2,3,0
32,5,1,5,1,6,2
33,1,3,4,6,5,8
34,1,3,4,6,5,8
35,6,4,1,2,3,6
36,1,1,3,5,1,5
37,2,0,0,3,4,1
38,4,2,2,4,2,4
39,1,1,3,5,1,5
40,1,1,3,5,1,5
41,4,2,2,4,2,4
42,6,4,1,2,3,6
43,2,0,0,3,4,1
44,6,4,1,2,3,0
45,2,0,0,3,4,1
46,1,1,3,5,1,7
47,1,1,3,5,1,7
48,7,4,1,2,3,0
49,1,1,3,5,1,7
50,1,1,3,5,1,7
51,1,1,3,5,1,7
52,6,4,1,2,3,6
53,5,1,5,1,6,2
54,7,4,1,2,3,0
55,1,1,3,5,1,7
56,1,1,3,5,1,5
57,2,0,0,3,0,1
58,2,0,0,3,4,1
59,2,0,0,3,0,1
60,2,0,0,3,4,1
61,4,2,2,4,2,4
62,4,2,2,4,2,4
63,3,2,2,0,2,3
64,1,1,3,5,1,7
65,1,1,3,5,1,7
66,1,1,3,5,1,5
67,1,2,2,4,2,4
68,1,1,3,5,1,7
69,1,1,3,5,1,7
70,1,1,3,5,1,7
71,1,1,3,5,1,5
72,2,0,0,3,0,1
73,7,4,1,2,3,0
74,4,2,2,4,2,4
75,1,2,2,4,2,4
76,1,3,4,6,5,8
77,3,2,2,4,2,4
78,7,2,2,0,7,3
79,2,0,0,3,4,1
80,2,0,0,3,4,1
81,3,2,2,0,2,3
82,7,2,2,0,7,3
83,4,2,2,4,2,4
84,2,0,0,3,4,1
85,1,3,4,6,5,8
86,4,2,2,4,2,4
87,2,0,0,3,0,1
88,6,4,1,2,3,0
89,5,1,5,1,6,2
90,3,1,5,1,6,2
91,3,1,5,1,6,2
92,4,2,2,4,2,4
93,1,3,4,6,5,8
94,1,1,3,5,1,5
95,2,0,0,3,0,1
96,1,3,4,6,5,8
97,6,4,1,2,3,6
98,1,1,3,5,1,7
99,7,2,2,0,7,3
100,2,0,0,3,4,1
