mcg	gvh	lip	chg	aac	alm1	alm2	class	class_k_6	class_k_7	class_k_8	class_k_9	class_k_10
0.49	0.29	0.48	0.5	0.56	0.24	0.35	cp	1	2	5	3	7
0.07	0.4	0.48	0.5	0.54	0.35	0.44	cp	1	5	6	7	1
0.56	0.4	0.48	0.5	0.49	0.37	0.46	cp	5	2	2	9	2
0.59	0.49	0.48	0.5	0.52	0.45	0.36	cp	3	4	2	9	2
0.23	0.32	0.48	0.5	0.55	0.25	0.35	cp	1	2	5	3	7
0.67	0.39	0.48	0.5	0.36	0.38	0.46	cp	5	4	2	9	2
0.29	0.28	0.48	0.5	0.44	0.23	0.34	cp	1	2	5	3	7
0.21	0.34	0.48	0.5	0.51	0.28	0.39	cp	1	2	5	3	7
0.2	0.44	0.48	0.5	0.46	0.51	0.57	cp	5	5	6	7	1
0.42	0.4	0.48	0.5	0.56	0.18	0.3	cp	1	2	5	3	7
0.42	0.24	0.48	0.5	0.57	0.27	0.37	cp	1	2	5	3	7
0.25	0.48	0.48	0.5	0.44	0.17	0.29	cp	1	2	5	3	7
0.39	0.32	0.48	0.5	0.46	0.24	0.35	cp	1	2	5	3	7
0.51	0.5	0.48	0.5	0.46	0.32	0.35	cp	1	2	2	9	2
0.22	0.43	0.48	0.5	0.48	0.16	0.28	cp	1	2	5	3	7
0.25	0.4	0.48	0.5	0.46	0.44	0.52	cp	5	5	6	7	1
0.34	0.45	0.48	0.5	0.38	0.24	0.35	cp	1	2	5	3	7
0.44	0.27	0.48	0.5	0.55	0.52	0.58	cp	5	5	6	7	1
0.23	0.4	0.48	0.5	0.39	0.28	0.38	cp	1	2	5	3	7
0.41	0.57	0.48	0.5	0.39	0.21	0.32	cp	1	2	2	9	2
0.4	0.45	0.48	0.5	0.38	0.22	0.0	cp	1	2	5	3	7
0.31	0.23	0.48	0.5	0.73	0.05	0.14	cp	1	2	5	3	7
0.51	0.54	0.48	0.5	0.41	0.34	0.43	cp	5	4	2	9	2
0.3	0.16	0.48	0.5	0.56	0.11	0.23	cp	1	2	5	3	7
0.36	0.39	0.48	0.5	0.48	0.22	0.23	cp	1	2	5	3	7
0.29	0.37	0.48	0.5	0.48	0.44	0.52	cp	5	5	6	7	1
0.25	0.4	0.48	0.5	0.47	0.33	0.42	cp	1	2	5	7	1
0.21	0.51	0.48	0.5	0.5	0.32	0.41	cp	1	5	6	7	1
0.43	0.37	0.48	0.5	0.53	0.35	0.44	cp	5	2	2	7	1
0.43	0.39	0.48	0.5	0.47	0.31	0.41	cp	1	2	2	9	2
0.53	0.38	0.48	0.5	0.44	0.26	0.36	cp	1	2	2	9	2
0.34	0.33	0.48	0.5	0.38	0.35	0.44	cp	5	2	2	7	1
0.56	0.51	0.48	0.5	0.34	0.37	0.46	cp	5	4	2	9	2
0.4	0.29	0.48	0.5	0.42	0.35	0.44	cp	5	2	2	7	1
0.24	0.35	0.48	0.5	0.31	0.19	0.31	cp	1	2	5	3	7
0.36	0.54	0.48	0.5	0.41	0.38	0.46	cp	5	5	6	7	1
0.29	0.52	0.48	0.5	0.42	0.29	0.39	cp	1	2	5	7	1
0.65	0.47	0.48	0.5	0.59	0.3	0.4	cp	3	4	2	9	2
0.32	0.42	0.48	0.5	0.35	0.28	0.38	cp	1	2	5	3	7
0.38	0.46	0.48	0.5	0.48	0.22	0.29	cp	1	2	5	3	7
0.33	0.45	0.48	0.5	0.52	0.32	0.41	cp	1	2	5	7	1
0.3	0.37	0.48	0.5	0.59	0.41	0.49	cp	5	5	6	7	1
0.4	0.5	0.48	0.5	0.45	0.39	0.47	cp	5	5	2	7	1
0.28	0.38	0.48	0.5	0.5	0.33	0.42	cp	1	2	5	7	1
0.61	0.45	0.48	0.5	0.48	0.35	0.41	cp	5	4	2	9	2
0.17	0.38	0.48	0.5	0.45	0.42	0.5	cp	5	5	6	7	1
0.44	0.35	0.48	0.5	0.55	0.55	0.61	cp	5	5	6	7	1
0.43	0.4	0.48	0.5	0.39	0.28	0.39	cp	1	2	2	9	2
0.42	0.35	0.48	0.5	0.58	0.15	0.27	cp	1	2	5	3	7
0.23	0.33	0.48	0.5	0.43	0.33	0.43	cp	1	2	5	7	1
0.37	0.52	0.48	0.5	0.42	0.42	0.36	cp	5	5	2	7	1
0.29	0.3	0.48	0.5	0.45	0.03	0.17	cp	1	2	5	3	7
0.22	0.36	0.48	0.5	0.35	0.39	0.47	cp	5	5	6	7	1
0.23	0.58	0.48	0.5	0.37	0.53	0.59	cp	5	5	6	7	1
0.47	0.47	0.48	0.5	0.22	0.16	0.26	cp	1	2	2	9	2
0.54	0.47	0.48	0.5	0.28	0.33	0.42	cp	5	2	2	9	2
0.51	0.37	0.48	0.5	0.35	0.36	0.45	cp	5	2	2	9	2
0.4	0.35	0.48	0.5	0.45	0.33	0.42	cp	1	2	2	7	1
0.44	0.34	0.48	0.5	0.3	0.33	0.43	cp	5	2	2	9	2
0.42	0.38	0.48	0.5	0.54	0.34	0.43	cp	1	2	2	7	1
0.44	0.56	0.48	0.5	0.5	0.46	0.54	cp	5	5	6	7	1
0.52	0.36	0.48	0.5	0.41	0.28	0.38	cp	1	2	2	9	2
0.36	0.41	0.48	0.5	0.48	0.47	0.54	cp	5	5	6	7	1
0.18	0.3	0.48	0.5	0.46	0.24	0.35	cp	1	2	5	3	7
0.47	0.29	0.48	0.5	0.51	0.33	0.43	cp	1	2	2	9	2
0.24	0.43	0.48	0.5	0.54	0.52	0.59	cp	5	5	6	7	1
0.25	0.37	0.48	0.5	0.41	0.33	0.42	cp	1	2	5	7	1
0.52	0.57	0.48	0.5	0.42	0.47	0.54	cp	5	4	2	9	2
0.25	0.37	0.48	0.5	0.43	0.26	0.36	cp	1	2	5	3	7
0.35	0.48	0.48	0.5	0.56	0.4	0.48	cp	5	5	6	7	1
0.26	0.26	0.48	0.5	0.34	0.25	0.35	cp	1	2	5	3	7
0.44	0.51	0.48	0.5	0.47	0.26	0.36	cp	1	2	2	9	2
0.37	0.5	0.48	0.5	0.42	0.36	0.45	cp	5	5	2	7	1
0.44	0.42	0.48	0.5	0.42	0.25	0.2	cp	1	2	5	3	7
0.24	0.43	0.48	0.5	0.37	0.28	0.38	cp	1	2	5	3	7
0.42	0.3	0.48	0.5	0.48	0.26	0.36	cp	1	2	5	3	7
0.48	0.42	0.48	0.5	0.45	0.25	0.35	cp	1	2	2	9	2
0.41	0.48	0.48	0.5	0.51	0.44	0.51	cp	5	5	6	7	1
0.44	0.28	0.48	0.5	0.43	0.27	0.37	cp	1	2	5	3	7
