"x" "y" "class"
0.228 0.559 NA
0.216 0.528 NA
0.221 0.552 NA
0.215 0.538 NA
0.224 0.548 NA
0.232 0.553 NA
0.216 0.525 NA
0.225 0.538 NA
0.206 0.554 NA
0.219 0.582 NA
0.216 0.575 NA
0.212 0.567 NA
0.241 0.551 NA
0.238 0.538 NA
0.232 0.524 NA
0.24 0.545 NA
0.223 0.528 NA
0.222 0.527 NA
0.233 0.562 NA
0.19 0.546 NA
0.209 0.558 NA
0.239 0.559 NA
0.24 0.54 NA
0.222 0.557 NA
0.22 0.539 NA
0.233 0.548 NA
0.221 0.558 NA
0.212 0.564 NA
0.244 0.584 NA
0.236 0.558 NA
0.229 0.532 NA
0.23 0.547 NA
0.238 0.551 NA
0.244 0.54 NA
0.238 0.542 NA
0.234 0.559 NA
0.232 0.534 NA
0.226 0.527 NA
0.199 0.59 NA
0.223 0.552 NA
0.226 0.525 NA
0.241 0.537 NA
0.214 0.517 NA
0.213 0.556 NA
0.226 0.532 NA
0.214 0.565 NA
0.223 0.573 NA
0.225 0.552 NA
0.258 0.554 NA
0.208 0.594 NA
0.222 0.535 NA
0.212 0.547 NA
0.21 0.553 NA
0.211 0.545 NA
0.236 0.551 NA
0.229 0.568 NA
0.241 0.565 NA
0.235 0.546 NA
0.22 0.562 NA
0.196 0.552 NA
0.226 0.539 NA
0.211 0.582 NA
0.237 0.552 NA
0.223 0.56 NA
0.226 0.562 NA
0.246 0.543 NA
0.219 0.551 NA
0.232 0.571 NA
0.227 0.545 NA
0.213 0.566 NA
0.235 0.561 NA
0.237 0.574 NA
0.218 0.523 NA
0.227 0.573 NA
0.244 0.551 NA
0.232 0.555 NA
0.239 0.563 NA
0.234 0.575 NA
0.219 0.564 NA
0.253 0.56 NA
0.241 0.567 NA
0.231 0.532 NA
0.228 0.576 NA
0.214 0.548 NA
0.23 0.587 NA
0.234 0.539 NA
0.227 0.536 NA
0.216 0.544 NA
0.228 0.563 NA
0.235 0.549 NA
0.234 0.589 NA
0.203 0.575 NA
0.248 0.567 NA
0.226 0.537 NA
0.213 0.594 NA
0.223 0.534 NA
0.25 0.579 NA
0.207 0.523 NA
0.233 0.576 NA
0.242 0.584 NA
0.221 0.556 NA
0.234 0.568 NA
0.231 0.58 NA
0.228 0.559 NA
0.215 0.545 NA
0.244 0.573 NA
0.225 0.572 NA
0.248 0.544 NA
0.239 0.55 NA
0.23 0.579 NA
0.244 0.6 NA
0.229 0.571 NA
0.224 0.574 NA
0.251 0.578 NA
0.224 0.56 NA
0.26 0.6 NA
0.206 0.57 NA
0.208 0.589 NA
0.218 0.561 NA
0.22 0.562 NA
0.231 0.607 NA
0.203 0.562 NA
0.229 0.546 NA
0.256 0.553 NA
0.245 0.576 NA
0.227 0.6 NA
0.237 0.559 NA
0.236 0.607 NA
0.245 0.586 NA
0.231 0.581 NA
0.215 0.557 NA
0.245 0.568 NA
0.212 0.56 NA
0.213 0.579 NA
0.227 0.578 NA
0.224 0.593 NA
0.221 0.584 NA
0.211 0.579 NA
0.215 0.61 NA
0.23 0.569 NA
0.223 0.553 NA
0.216 0.578 NA
0.222 0.568 NA
0.244 0.588 NA
0.238 0.557 NA
0.24 0.576 NA
0.24 0.603 NA
0.231 0.591 NA
0.239 0.625 NA
0.219 0.622 NA
0.23 0.565 NA
0.227 0.615 NA
0.215 0.606 NA
0.217 0.613 NA
0.234 0.591 NA
0.236 0.596 NA
0.223 0.559 NA
0.229 0.579 NA
0.236 0.594 NA
0.213 0.595 NA
0.243 0.587 NA
0.236 0.61 NA
0.231 0.591 NA
0.216 0.577 NA
0.227 0.636 NA
0.214 0.598 NA
0.237 0.598 NA
0.238 0.619 NA
0.222 0.591 NA
0.226 0.59 NA
0.252 0.608 NA
0.23 0.582 NA
0.228 0.606 NA
0.223 0.638 NA
0.221 0.616 NA
0.226 0.598 NA
0.22 0.585 NA
0.23 0.589 NA
0.21 0.621 NA
0.216 0.572 NA
0.22 0.589 NA
0.237 0.597 NA
0.238 0.555 NA
0.213 0.608 NA
0.223 0.581 NA
0.209 0.575 NA
0.218 0.59 NA
0.252 0.623 NA
0.221 0.647 NA
0.236 0.582 NA
0.218 0.61 NA
0.24 0.591 NA
0.229 0.612 NA
0.21 0.57 NA
0.228 0.615 NA
0.22 0.628 NA
0.225 0.598 NA
0.223 0.608 NA
0.211 0.603 NA
0.211 0.594 NA
0.212 0.602 NA
0.23 0.571 NA
0.259 0.627 NA
0.247 0.595 NA
0.208 0.625 NA
0.218 0.63 NA
0.208 0.641 NA
0.218 0.602 NA
0.226 0.553 NA
0.211 0.622 NA
0.218 0.6 NA
0.219 0.603 NA
0.237 0.626 NA
0.213 0.609 NA
0.215 0.614 NA
0.218 0.61 NA
0.244 0.592 NA
0.221 0.599 NA
0.24 0.609 NA
0.216 0.613 NA
0.231 0.638 NA
0.224 0.64 NA
0.242 0.595 NA
0.261 0.642 NA
0.243 0.627 NA
0.236 0.609 NA
0.217 0.639 NA
0.213 0.62 NA
0.223 0.585 NA
0.222 0.58 NA
0.222 0.615 NA
0.222 0.62 NA
0.221 0.608 NA
0.209 0.611 NA
0.188 0.631 NA
0.231 0.582 NA
0.222 0.637 NA
0.21 0.648 NA
0.218 0.597 NA
0.218 0.623 NA
0.211 0.613 NA
0.228 0.612 NA
0.189 0.637 NA
0.221 0.619 NA
0.223 0.607 NA
0.249 0.641 NA
0.219 0.606 NA
0.245 0.637 NA
0.212 0.629 NA
0.194 0.595 NA
0.223 0.594 NA
0.209 0.645 NA
0.233 0.612 NA
0.22 0.625 NA
0.236 0.599 NA
0.222 0.655 NA
0.246 0.611 NA
0.225 0.626 NA
0.206 0.577 NA
0.224 0.636 NA
0.207 0.604 NA
0.215 0.629 NA
0.226 0.634 NA
0.198 0.605 NA
0.219 0.635 NA
0.215 0.642 NA
0.199 0.635 NA
0.216 0.617 NA
0.239 0.625 NA
0.205 0.626 NA
0.212 0.629 NA
0.221 0.605 NA
0.245 0.618 NA
0.209 0.629 NA
0.225 0.635 NA
0.197 0.583 NA
0.215 0.621 NA
0.204 0.635 NA
0.214 0.605 NA
0.203 0.634 NA
0.224 0.656 NA
0.237 0.646 NA
0.226 0.651 NA
0.255 0.637 NA
0.206 0.616 NA
0.232 0.616 NA
0.221 0.609 NA
0.207 0.627 NA
0.237 0.643 NA
0.222 0.644 NA
0.213 0.628 NA
0.208 0.613 NA
0.223 0.661 NA
0.22 0.642 NA
0.22 0.639 NA
0.2 0.663 NA
0.211 0.641 NA
0.231 0.607 NA
0.224 0.63 NA
0.227 0.661 NA
0.206 0.606 NA
0.207 0.655 NA
0.201 0.648 NA
0.226 0.642 NA
0.231 0.65 NA
0.213 0.651 NA
0.249 0.68 NA
0.219 0.664 NA
0.219 0.653 NA
0.183 0.657 NA
0.225 0.666 NA
0.21 0.649 NA
0.219 0.638 NA
0.182 0.62 NA
0.202 0.661 NA
0.224 0.624 NA
0.196 0.654 NA
0.217 0.687 NA
0.197 0.669 NA
0.254 0.668 NA
0.221 0.657 NA
0.232 0.66 NA
0.23 0.672 NA
0.206 0.689 NA
0.211 0.697 NA
0.2 0.665 NA
0.221 0.659 NA
0.239 0.644 NA
0.218 0.664 NA
0.191 0.649 NA
0.202 0.637 NA
0.223 0.648 NA
0.219 0.674 NA
0.206 0.671 NA
0.229 0.649 NA
0.23 0.671 NA
0.232 0.653 NA
0.219 0.673 NA
0.211 0.672 NA
0.221 0.654 NA
0.195 0.666 NA
0.211 0.69 NA
0.24 0.699 NA
0.186 0.685 NA
0.199 0.683 NA
0.23 0.653 NA
0.204 0.661 NA
0.227 0.664 NA
0.222 0.71 NA
0.218 0.683 NA
0.192 0.677 NA
0.215 0.68 NA
0.223 0.683 NA
0.209 0.698 NA
0.227 0.677 NA
0.241 0.695 NA
0.206 0.682 NA
0.243 0.702 NA
0.236 0.71 NA
0.223 0.677 NA
0.224 0.687 NA
0.211 0.667 NA
0.25 0.659 NA
0.227 0.668 NA
0.219 0.728 NA
0.224 0.693 NA
0.22 0.675 NA
0.211 0.692 NA
0.23 0.685 NA
0.219 0.694 NA
0.227 0.676 NA
0.24 0.724 NA
0.209 0.711 NA
0.239 0.683 NA
0.21 0.682 NA
0.225 0.703 NA
0.233 0.659 NA
0.22 0.691 NA
0.239 0.701 NA
0.224 0.68 NA
0.221 0.73 NA
0.222 0.703 NA
0.196 0.686 NA
0.231 0.709 NA
0.225 0.7 NA
0.209 0.719 NA
0.234 0.696 NA
0.209 0.734 NA
0.238 0.694 NA
0.235 0.689 NA
0.228 0.723 NA
0.206 0.691 NA
0.221 0.681 NA
0.209 0.713 NA
0.228 0.689 NA
0.213 0.702 NA
0.239 0.681 NA
0.211 0.679 NA
0.243 0.71 NA
0.243 0.733 NA
0.221 0.714 NA
0.229 0.698 NA
0.226 0.662 NA
0.232 0.692 NA
0.233 0.74 NA
0.234 0.721 NA
0.219 0.709 NA
0.267 0.684 NA
0.23 0.71 NA
0.219 0.709 NA
0.214 0.698 NA
0.228 0.705 NA
0.233 0.729 NA
0.221 0.747 NA
0.218 0.703 NA
0.251 0.691 NA
0.212 0.746 NA
0.257 0.767 NA
0.234 0.703 NA
0.258 0.707 NA
0.214 0.748 NA
0.209 0.743 NA
0.232 0.728 NA
0.257 0.728 NA
0.246 0.721 NA
0.243 0.724 NA
0.228 0.77 NA
0.217 0.708 NA
0.232 0.72 NA
0.239 0.732 NA
0.242 0.757 NA
0.24 0.731 NA
0.214 0.749 NA
0.214 0.727 NA
0.217 0.757 NA
0.23 0.769 NA
0.244 0.749 NA
0.237 0.74 NA
0.232 0.754 NA
0.246 0.728 NA
0.25 0.738 NA
0.239 0.764 NA
0.228 0.746 NA
0.248 0.747 NA
0.232 0.786 NA
0.214 0.784 NA
0.239 0.739 NA
0.217 0.71 NA
0.243 0.765 NA
0.214 0.777 NA
0.244 0.761 NA
0.256 0.754 NA
0.225 0.727 NA
0.232 0.761 NA
0.241 0.77 NA
0.233 0.701 NA
0.217 0.744 NA
0.24 0.745 NA
0.259 0.783 NA
0.248 0.748 NA
0.247 0.756 NA
0.23 0.787 NA
0.243 0.777 NA
0.234 0.783 NA
0.234 0.741 NA
0.226 0.766 NA
0.239 0.768 NA
0.237 0.795 NA
0.229 0.772 NA
0.241 0.742 NA
0.229 0.744 NA
0.245 0.76 NA
0.251 0.776 NA
0.245 0.772 NA
0.225 0.763 NA
0.233 0.722 NA
0.261 0.77 NA
0.237 0.763 NA
0.237 0.751 NA
0.241 0.753 NA
0.225 0.757 NA
0.251 0.784 NA
0.252 0.736 NA
0.248 0.779 NA
0.239 0.774 NA
0.256 0.745 NA
0.243 0.755 NA
0.255 0.785 NA
0.22 0.78 NA
0.251 0.757 NA
0.239 0.752 NA
0.266 0.776 NA
0.219 0.786 NA
0.232 0.794 NA
0.253 0.726 NA
0.244 0.756 NA
0.245 0.803 NA
0.242 0.758 NA
0.248 0.792 NA
0.227 0.796 NA
0.247 0.777 NA
0.232 0.77 NA
0.238 0.801 NA
0.233 0.751 NA
0.233 0.774 NA
0.25 0.776 NA
0.243 0.756 NA
0.258 0.797 NA
0.256 0.824 NA
0.244 0.798 NA
0.246 0.756 NA
0.263 0.757 NA
0.274 0.772 NA
0.245 0.782 NA
0.256 0.787 NA
0.235 0.778 NA
0.256 0.746 NA
0.247 0.789 NA
0.252 0.789 NA
0.262 0.789 NA
0.242 0.775 NA
0.243 0.807 NA
0.26 0.766 NA
0.263 0.795 NA
0.252 0.801 NA
0.257 0.795 NA
0.245 0.785 NA
0.252 0.792 NA
0.258 0.799 NA
0.243 0.796 NA
0.265 0.792 NA
0.259 0.818 NA
0.268 0.787 NA
0.257 0.81 NA
0.242 0.804 NA
0.252 0.794 NA
0.253 0.809 NA
0.275 0.781 NA
0.251 0.787 NA
0.255 0.792 NA
0.27 0.818 NA
0.252 0.805 NA
0.261 0.81 NA
0.245 0.822 NA
0.256 0.793 NA
0.273 0.795 NA
0.242 0.812 NA
0.244 0.82 NA
0.269 0.796 NA
0.266 0.81 NA
0.262 0.804 NA
0.272 0.78 NA
0.282 0.806 NA
0.272 0.793 NA
0.283 0.813 NA
0.263 0.835 NA
0.262 0.797 NA
0.269 0.804 NA
0.256 0.79 NA
0.278 0.825 NA
0.261 0.78 NA
0.263 0.797 NA
0.226 0.832 NA
0.291 0.812 NA
0.262 0.788 NA
0.249 0.807 NA
0.282 0.814 NA
0.243 0.825 NA
0.253 0.786 NA
0.269 0.8 NA
0.272 0.81 NA
0.269 0.777 NA
0.275 0.804 NA
0.272 0.801 NA
0.253 0.795 NA
0.265 0.793 NA
0.265 0.815 NA
0.255 0.835 NA
0.249 0.824 NA
0.262 0.81 NA
0.257 0.834 NA
0.277 0.789 NA
0.269 0.833 NA
0.251 0.818 NA
0.273 0.821 NA
0.263 0.832 NA
0.258 0.812 NA
0.247 0.824 NA
0.278 0.799 NA
0.274 0.843 NA
0.27 0.821 NA
0.258 0.82 NA
0.276 0.825 NA
0.261 0.813 NA
0.275 0.799 NA
0.273 0.815 NA
0.262 0.863 NA
0.27 0.817 NA
0.27 0.804 NA
0.275 0.81 NA
0.266 0.816 NA
0.261 0.816 NA
0.29 0.812 NA
0.275 0.811 NA
0.266 0.802 NA
0.292 0.797 NA
0.26 0.8 NA
0.263 0.84 NA
0.276 0.838 NA
0.261 0.831 NA
0.277 0.821 NA
0.284 0.835 NA
0.243 0.84 NA
0.269 0.827 NA
0.28 0.82 NA
0.278 0.831 NA
0.264 0.824 NA
0.293 0.841 NA
0.252 0.828 NA
0.277 0.829 NA
0.276 0.829 NA
0.287 0.858 NA
0.281 0.832 NA
0.288 0.832 NA
0.267 0.806 NA
0.284 0.812 NA
0.28 0.86 NA
0.258 0.823 NA
0.29 0.86 NA
0.269 0.801 NA
0.27 0.849 NA
0.289 0.831 NA
0.279 0.846 NA
0.283 0.824 NA
0.298 0.817 NA
0.299 0.818 NA
0.277 0.837 NA
0.255 0.857 NA
0.269 0.804 NA
0.294 0.819 NA
0.277 0.833 NA
0.269 0.814 NA
0.258 0.825 NA
0.263 0.844 NA
0.273 0.851 NA
0.293 0.798 NA
0.292 0.844 NA
