,true_label,2,3,4
0,g,0,1,2
1,b,0,2,1
2,g,0,1,2
3,g,1,0,0
4,g,1,0,0
5,g,0,1,2
6,b,0,2,1
7,g,1,2,1
8,g,0,1,2
9,g,1,0,0
10,b,0,2,1
11,b,0,2,1
12,g,1,0,0
13,g,1,0,0
14,b,0,2,1
15,g,1,0,0
16,g,0,2,3
17,b,1,0,0
18,g,0,1,2
19,g,1,0,0
20,b,0,2,1
21,b,0,2,1
22,b,1,0,0
23,g,0,2,3
24,g,1,0,0
25,g,1,0,0
26,b,1,0,0
27,b,0,2,1
28,g,0,2,3
29,g,1,0,0
30,g,1,0,0
31,g,1,0,0
32,b,1,0,0
33,g,0,1,3
34,b,0,2,1
35,g,0,1,2
36,b,1,0,0
37,g,1,0,0
38,g,1,0,0
39,g,0,1,2
40,g,1,0,0
41,g,1,0,0
42,b,1,0,0
43,b,0,2,1
44,b,0,2,3
45,b,1,0,0
46,g,0,1,2
47,g,1,0,0
48,g,1,0,0
49,g,0,2,1
50,b,0,2,1
51,g,1,0,0
52,g,1,0,0
53,g,1,0,3
54,g,1,0,0
55,b,0,2,1
56,g,1,0,0
57,g,1,0,0
58,g,0,1,2
59,b,1,0,0
60,g,1,0,0
61,b,0,2,3
62,b,0,2,1
63,g,1,0,0
64,g,0,1,2
65,g,1,0,0
66,b,0,2,1
67,b,0,2,1
68,g,1,0,0
69,b,0,2,1
70,g,1,0,0
71,b,0,2,1
72,g,1,0,0
73,b,0,2,1
74,g,1,0,0
75,b,1,0,0
76,g,1,0,0
77,g,1,0,0
78,g,0,2,3
79,g,0,2,3
80,g,1,0,0
81,g,0,1,2
82,g,1,0,0
83,b,0,2,1
84,b,0,2,1
85,b,0,2,1
86,b,0,2,1
87,g,1,0,0
88,b,1,0,0
89,g,1,0,0
90,g,1,0,0
91,g,1,0,0
92,g,1,0,0
93,g,1,0,1
94,b,0,2,1
95,b,0,2,1
96,b,0,2,1
97,g,1,0,0
98,g,0,1,2
99,g,1,0,0
100,b,0,2,1
101,g,1,0,0
102,g,1,0,1
103,b,1,0,0
104,g,1,0,0
105,g,1,0,0
106,b,0,2,1
107,g,0,1,2
